"Gene","Score"
"SLC16A11",1.85778864306444
"QTRT1",1.85735840990558
"KLF16",1.85676262886303
"GORAB",1.8566295656471
"ABHD12B",1.85648046563394
"MYO1H",1.8561368958545
"MIXL1",1.85594276892016
"SLC39A3",1.85574627164485
"UCHL3",1.85501365592962
"CDK2",1.85454277184466
"LAMA1",1.85401122435849
"RASSF5",1.85380659374844
"ZNF552",1.85358363164162
"ALKBH2",1.85326513128131
"PPM1N",1.85283184176105
"DIPK1A",1.85260855419652
"THSD8",1.85188484566158
"NDC1",1.85177464647923
"ZNF30",1.85053127701644
"MSANTD2",1.85014022326506
"SCAMP3",1.84974797351773
"ANKRD49",1.84942889644998
"TRPM4",1.84886972146326
"AC040162.1",1.84855513853821
"RNASEH2A",1.84785579207279
"MED24",1.84761781452941
"OIT3",1.84744352845054
"L2HGDH",1.84709549125957
"POMP",1.84666157341346
"PSMD3",1.84620333808226
"MEF2D",1.8460497087278
"PGF",1.84512869911131
"EFR3B",1.84506725368396
"SORD",1.84464248588041
"ARHGAP1",1.84460098233491
"HCFC1R1",1.84437437030866
"SLC38A4",1.84372670457856
"CIAO3",1.84369177812945
"TBC1D17",1.84366533605149
"CCS",1.84333622232084
"CREBZF",1.84302376555315
"CTU2",1.84283795564288
"AC008687.4",1.84267324614831
"CGRRF1",1.84025577813246
"SF3A2",1.83969833534336
"PPTC7",1.83942667310906
"CTBP2",1.83877026807505
"LBH",1.83870820883291
"CEP128",1.83859907962822
"SIDT2",1.83854530210937
"NPIPB15",1.83768091966992
"FMN1",1.83733451210646
"BORCS8-MEF2B",1.83726697434426
"RMC1",1.83722183274825
"RESF1",1.8371838157507
"MTFMT",1.83690882976201
"EEA1",1.83655208973787
"MUL1",1.83628893180731
"MRPS12",1.83575779875538
"ZNF317",1.83557307664671
"EIF5B",1.83501078237582
"SRRM1",1.83499478374809
"STXBP4",1.83491562197769
"SPRED1",1.83438717214754
"TNRC6C",1.83333607806774
"TMEM38A",1.83327092896481
"ARF6",1.83322880325842
"RXYLT1",1.83257069133229
"AC068896.1",1.83236318494797
"OCEL1",1.83177570209593
"PAFAH1B3",1.8317542684333
"CDIPT",1.83168722074803
"MEX3D",1.83077613909075
"MRPL19",1.83061170267876
"TCF12",1.83018543099064
"ZNF644",1.82975199930069
"PYCARD",1.82936029583647
"KCNC1",1.82908488354503
"SMYD4",1.8286040078105
"AC003002.3",1.82782573904392
"THUMPD2",1.82715529589432
"TMEM120B",1.82710411176728
"RRAGC",1.82700205561185
"CITED4",1.82680690920485
"FMNL1",1.82638348532912
"AC090527.3",1.82626140165356
"LYSMD1",1.82487314763561
"BCL2A1",1.82433495829776
"RPUSD2",1.82429377913109
"CD320",1.82393097841429
"ZNF529",1.82365906438528
"AC027796.3",1.8219378105028
"CANT1",1.82165007469999
"AC073612.1",1.82109589721218
"XAB2",1.82068159738095
"POLE4",1.82057460546666
"KRT20",1.8203847115195
"RTKN2",1.82032621988584
"OAZ3",1.82011948114897
"COX10",1.81936443088792
"PPP2R2D",1.81924197075359
"FRMPD2",1.81913801732619
"THOP1",1.81865032408447
"ZNF500",1.81853849791677
"C17orf67",1.81768316582383
"DPF3",1.81755533723597
"PNPLA6",1.81710235415013
"ZBTB25",1.81685147383058
"PFKP",1.81638226293572
"SDHAF1",1.8158974424077
"EPHX4",1.81563455391382
"TLCD5",1.81562962068904
"NRXN3",1.81544055560219
"AL117339.4",1.81532661346748
"BRCA2",1.81512443348483
"TMEM9B",1.81426212208904
